epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1098.79,0.87628,0.49785,0.92707,0.92417,0.90301,0.95199,0.73045,0.78625,0.48461,0.92467,0.0011288,0.0011288,0.0011288
46,1121.29,0.88335,0.49837,0.93151,0.90064,0.85608,0.9208,0.69785,0.77256,0.50125,0.90441,0.001109,0.001109,0.001109
47,1145.46,0.84271,0.48103,0.9176,0.94709,0.88228,0.9542,0.74737,0.77173,0.51319,0.90007,0.0010892,0.0010892,0.0010892
48,1169.69,0.84419,0.48261,0.91463,0.92132,0.8793,0.94079,0.72012,0.79867,0.52685,0.93277,0.0010694,0.0010694,0.0010694
49,1194.39,0.82114,0.46089,0.9098,0.93054,0.90122,0.95807,0.74452,0.73059,0.48238,0.88461,0.0010496,0.0010496,0.0010496
50,1216.75,0.82627,0.46811,0.91432,0.93377,0.86564,0.94514,0.72602,0.80406,0.50794,0.92251,0.0010298,0.0010298,0.0010298
51,1240.9,0.83797,0.47109,0.91879,0.90502,0.88321,0.93451,0.72483,0.75564,0.52204,0.89104,0.00101,0.00101,0.00101
52,1264.62,0.80197,0.45667,0.90893,0.93308,0.92155,0.96158,0.7652,0.74588,0.44299,0.9196,0.0009902,0.0009902,0.0009902
53,1289.96,0.81453,0.46026,0.91673,0.91987,0.90927,0.9518,0.74586,0.72139,0.4622,0.89488,0.0009704,0.0009704,0.0009704
54,1312.15,0.81982,0.46142,0.91356,0.92381,0.90458,0.95683,0.73604,0.76178,0.47378,0.91541,0.0009506,0.0009506,0.0009506
55,1336.3,0.79323,0.45241,0.90212,0.93369,0.91983,0.95778,0.75077,0.72375,0.46066,0.89024,0.0009308,0.0009308,0.0009308
56,1359.02,0.81722,0.46349,0.90971,0.94628,0.92569,0.96691,0.77653,0.70722,0.48631,0.88387,0.000911,0.000911,0.000911
57,1383.12,0.79997,0.45791,0.90674,0.95237,0.90262,0.96114,0.75939,0.77524,0.50833,0.9069,0.0008912,0.0008912,0.0008912
58,1407.23,0.78612,0.44555,0.90519,0.95652,0.92061,0.96917,0.78261,0.66853,0.42082,0.88059,0.0008714,0.0008714,0.0008714
59,1432.52,0.77704,0.44317,0.89779,0.95076,0.90458,0.96351,0.77257,0.73085,0.47352,0.89107,0.0008516,0.0008516,0.0008516
60,1454.58,0.7763,0.44407,0.89987,0.95726,0.90849,0.96729,0.78059,0.65093,0.44421,0.87491,0.0008318,0.0008318,0.0008318
61,1477,0.7545,0.43375,0.89252,0.95495,0.89636,0.9633,0.77904,0.65281,0.43261,0.87232,0.000812,0.000812,0.000812
62,1499.68,0.77053,0.43925,0.89445,0.95462,0.91513,0.96591,0.77804,0.66468,0.41054,0.87083,0.0007922,0.0007922,0.0007922
63,1523.12,0.75771,0.43197,0.89731,0.95066,0.92843,0.96851,0.78753,0.64497,0.39934,0.87848,0.0007724,0.0007724,0.0007724
64,1546.32,0.75792,0.43121,0.88938,0.93928,0.90741,0.95765,0.77306,0.68771,0.47219,0.87678,0.0007526,0.0007526,0.0007526
65,1570.81,0.73717,0.42115,0.88595,0.92481,0.90418,0.95074,0.7581,0.73718,0.52648,0.88073,0.0007328,0.0007328,0.0007328
66,1593.33,0.76296,0.43528,0.89844,0.952,0.92305,0.96729,0.78417,0.68145,0.40763,0.86678,0.000713,0.000713,0.000713
67,1617.21,0.73959,0.42345,0.88937,0.94735,0.91479,0.9637,0.78013,0.67755,0.42199,0.86954,0.0006932,0.0006932,0.0006932
